"Peak_id","Peak_mz","Peak_center","Peak_height","Peak_width","Peak_area","Peak_start_time","Peak_end_time","Peak_area_top","Peak_ridge_length","Peak_ridge_drift","Peak_gauss_fit","Peak_SNR"
"94.2.8",125.082267714825,1011.88368,63783.2890625,95.3139095236549,4748006.18652344,964.23288,1059.57648,61805.1888020833,9,0.555555555555556,0.141903873626821,1.22386134152912
"94.2.9",125.082293753454,751.50906,80957.5078125,51.3228743588911,3290010.27929688,725.99136,776.9346,74718.03125,5,0.6,0.224513822460137,1.23582256568463
"94.2.10",125.082312667249,813.85698,92014.375,78.8172713368685,5093959.6171875,775.14888,853.15926,85536.1380208333,5,0.6,0.286435082476995,1.24743717306986
"94.2.11",125.082361716283,419.370006,154824.5,91.6479899265913,11014150.4101562,373.856682,464.984454,149992.328125,3,0.666666666666667,0.156701412752349,1.22672130409142
"94.2.12",125.082278817877,667.73298,93236.1015625,53.1558341574229,3736149.4921875,641.39664,694.1379,89353.4140625,2,0.5,0.236924887273835,1.23697236446303
"94.2.13",125.082361593436,531.322512,110371.3984375,62.320633150082,5012944.11523438,499.575348,562.898676,101675.1171875,1,1,0.156382106123603,1.21421797671479
"95.1.1",130.069407421434,499.575348,186838.359375,38.4921557691683,3424884.07373047,484.147452,522.92019,182768.552083333,56,0.0535714285714286,0.946973675776989,5.12676742244905
"96.1.1",134.027288550347,785.89182,172343.4375,43.0745552654979,3521609.31347656,772.46226,814.75974,136524.536458333,56,0.107142857142857,0.90482457722523,2.3152028753635
"98.1.1",135.080570971344,115.687284,158166.09375,120.9753467031,14678946.1914062,60.322902,181.702218,149318.59375,56,0.821428571428571,0.382817101519647,1.2849491705118
"98.1.2",135.08060076157,433.034658,140316.765625,117.309427106037,12304484.0878906,367.50684,484.147452,132844.078125,56,0.875,0.320621079210516,1.24232748531201
"98.1.3",135.080626831753,333.477708,166867.59375,53.1558341574229,6204571.38671875,306.989634,360.116406,152840.84375,20,0.75,0.444629135641466,1.30694836590532
"98.1.4",135.080593195877,249.469266,140803.109375,43.9910351647638,5059902.87109375,227.360664,271.491108,132016.919270833,18,0.5,0.390951932201473,1.29003034802535
"98.1.5",135.080605251208,389.39871,140316.765625,84.3161507324639,9632798.63671875,347.261604,431.21592,135718.958333333,9,0.444444444444444,0.204753745648848,1.26193965953068
"98.1.6",135.080572457831,156.956382,137274.109375,62.320633150082,7643479.29296875,125.858718,188.077302,135733.911458333,4,0.75,0.218602672417678,1.26476310096004
"98.1.7",135.080570971344,115.687284,158166.09375,120.9753467031,14678946.1914062,60.322902,181.702218,149318.59375,2,1,0.382817101519647,1.2849491705118
"98.1.8",135.080582669416,284.274162,134929.25,40.3251155677001,4584972.12890625,264.183294,304.29303,133181.161458333,2,1,0.400033434412367,1.29287509451364
"98.1.9",135.080599240308,208.209666,142490.796875,32.9932763735728,3842762.3515625,191.751024,224.651058,132534.229166667,1,1,0.140917840119379,1.24774509369687
"98.2.1",135.080561163257,508.869912,104610.625,52.239354258157,2342513.76074219,496.85199,549.703266,81168.9088541667,56,0.232142857142857,0.771416006768399,1.35277083224602
"98.3.1",135.080614963277,602.34126,93128.609375,105.39518841558,6936790.1328125,562.898676,667.73298,88766.2213541667,56,0.75,0.543730400607059,1.56770567556967
"98.3.2",135.080610195212,820.19418,82704.8203125,64.1535929486139,4304322.875,788.57856,852.24624,81748.2083333333,56,0.339285714285714,0.557501764490367,1.59426545304734
"98.3.3",135.080663135334,1063.26834,64757.74609375,100.81278891925,4991395.23242188,998.11716,1099.08534,62054.6627604167,56,0.732142857142857,0.43617810785468,1.4794491683923
"98.3.4",135.080665718603,902.00394,75744.90625,34.8262361721047,1958089.20898438,884.5479,919.3752,69823.6158854167,17,0.588235294117647,0.235909489643681,1.49429813002252
"98.3.5",135.080649076074,994.46316,65987.515625,47.6569547618274,2428779.12109375,970.62522,1018.28166,61875.65625,14,0.571428571428571,0.191008157606057,1.48571200203897
"98.3.6",135.080612508968,756.0534,84245.9765625,82.4831909339321,5444451.640625,715.07304,796.67196,82481.3098958333,13,0.692307692307692,0.211035059196984,1.4948883840151
"98.3.7",135.08061252846,655.01406,85682.953125,32.9932763735728,2209993.6015625,638.65218,671.39034,81963.1770833333,9,0.444444444444444,0.44089435969286,1.55496973956531
"98.3.8",135.080628961422,704.15238,80685.890625,56.8217537544866,3634256.30273438,675.92442,732.37842,76919.9270833333,5,0.6,0.296436241316653,1.51532685357355
"99.1.1",135.032053754597,785.89182,160618.765625,43.0745552654979,4081839.07519531,771.56418,813.85698,157186.65625,56,0.107142857142857,0.904652967991745,2.24485888194634
"100.1.1",131.118080159968,115.687284,140104.703125,120.9753467031,14551695.453125,60.322902,181.702218,137490.635416667,56,0.75,0.244215053851126,1.18501687055697
"100.1.2",131.118119651453,494.111886,157127.046875,115.476467307505,10048358.3105469,436.698516,552.626376,135551.369791667,56,0.571428571428571,0.375565893479698,1.24781112876935
"100.1.3",131.118070797219,402.108372,153001.0625,113.643507508973,13687369.2773438,345.33351,458.608248,149864.286458333,30,0.233333333333333,0.607229212875085,1.29717305313293
"100.1.4",131.118083357194,260.520942,135677.828125,102.645748717782,11108981.0703125,209.119032,311.508594,131446.236979167,22,0.409090909090909,0.235852078593386,1.22668872928154
"100.1.5",131.118078605914,143.241228,140104.703125,89.8150301280594,10698750.4257812,98.002158,188.077302,136449.375,12,0.583333333333333,0.471189167361454,1.26710943139847
"100.1.6",131.118089323882,200.879094,147696.1875,45.8239949632956,5050766.07421875,178.024746,223.745556,127127.130208333,4,0.5,0.333050283637068,1.23919191189272
"100.1.8",131.118131914067,471.384288,157127.046875,51.3228743588911,5381920.58203125,445.804206,496.85199,139789.9296875,1,1,0.525345641705193,1.27646780874063
"100.2.1",131.118115175001,604.1499,154904.375,101.729268818516,9570517.78417969,566.564016,667.73298,134500.463541667,56,0.785714285714286,0.646762397714281,2.19986344327559
"100.2.2",131.118129807015,747.84546,104065.03125,79.7337512361344,6336639.23535156,696.85854,776.04252,96727.5130208333,39,0.743589743589744,0.523511010668446,1.95039294723622
"100.2.3",131.11812711003,677.73606,107798.078125,65.9865527471457,5575995.48046875,645.01812,710.50158,103009.731770833,2,1,0.124031703662409,1.85000160829188
"100.3.1",131.118127053998,854.97924,99227.5546875,121.891826602366,8019761.26367188,794.87676,916.64154,89191.4322916667,56,0.821428571428571,0.487741243902459,1.33720430483658
"100.3.2",131.118150947469,1039.37274,90877.9609375,125.55774619943,8710774.1640625,973.39458,1099.08534,86627.5677083333,56,0.857142857142857,0.21463762100288,1.2489127913836
"100.3.3",131.118153473255,1014.6273,90877.9609375,128.307185897228,8887283.59179688,950.48508,1078.87182,88189.6432291667,11,0.727272727272727,0.292093674407643,1.28826167118579
"100.3.4",131.118137711828,945.01824,82818.7578125,34.8262361721047,2349218.20703125,927.61314,962.40774,77850.8776041667,6,0.666666666666667,0.274598859598554,1.28010008276424
"101.1.1",134.090383698552,245.829282,155749.328125,33.9097562728388,2572999.85839844,231.902388,265.999152,141872.161458333,56,0.0714285714285714,0.945809419742836,3.46313986767461
"103.1.1",134.11770375595,92.50632,34444.71875,71.4854321427412,1409580.5390625,60.322902,132.270426,27864.5266927083,56,0.196428571428571,0.745768406667238,1.31165885652249
"103.1.2",134.11770375595,116.600772,34444.71875,71.4854321427412,1409580.5390625,60.322902,132.270426,27864.5266927083,2,1,0.48735698250873,1.16960460820538
"103.2.1",134.117681238311,156.040518,29677.31640625,81.5667110346662,1702006.69482422,134.091162,215.531244,28076.9322916667,56,0.375,0.583574408248302,1.03753935091341
"103.2.2",134.117684534756,200.879094,27229.220703125,37.5756758699024,696593.991699219,178.024746,215.531244,25983.7708333333,6,1,0.530481076715984,1.03228505377062
"103.3.1",134.117724151904,296.135442,37844.76953125,57.7382336537525,1402804.41064453,257.795088,315.101958,34837.8177083333,56,0.160714285714286,0.829097728738454,1.22775219258357
"103.4.1",134.117742601356,375.677178,33803.71875,52.239354258157,1242737.80859375,358.309668,410.284566,32334.7259114583,9,0.888888888888889,0.36762038815627,1.07353170071994
"103.4.2",134.117692734842,458.608248,36879.39453125,42.158075366232,936951.09765625,431.21592,473.202402,32580.0696614583,7,0.857142857142857,0.47770951594977,1.12804136583877
"103.4.3",134.117713281924,415.714284,36879.39453125,115.476467307505,2844418.9296875,358.309668,473.202402,35579.0416666667,4,0.75,0.523515707339644,1.15684873863414
"103.4.4",134.117713281924,416.646654,36879.39453125,115.476467307505,2844418.9296875,358.309668,473.202402,35579.0416666667,47,0.191489361702128,0.522378337956753,1.15641428254141
"105.1.1",121.966434220039,181.702218,81493.3828125,43.9910351647638,1878715.69140625,159.696114,203.649438,70869.6119791667,56,0.607142857142857,0.846453687290479,1.88668120924407
"105.1.2",121.966432584218,86.071734,55204.26953125,79.7337512361344,3099416.06542969,60.322902,140.473242,52393.3294270833,21,0.761904761904762,0.436416645935776,1.50309300040212
"105.1.3",121.966421721046,136.823772,54177.66015625,64.1535929486139,2566704.27734375,104.436852,168.860802,50841.328125,3,1,0.300061010100423,1.53261408303593
"105.2.1",121.966433598371,237.491838,63455.2578125,96.2303894229208,3773263.51464844,206.384058,302.494536,54545.6197916667,56,0.392857142857143,0.522772068700958,1.2695077116716
"105.2.2",121.96644184413,284.274162,53083.109375,60.4876733515502,2262890.9453125,245.829282,306.091014,48503.9674479167,9,0.777777777777778,0.411039810105608,1.18921168658007
"105.3.1",121.966432486153,423.001488,61336.97265625,53.1558341574229,2225224.88378906,388.488714,441.250614,54605.1901041667,56,0.339285714285714,0.57224244326009,1.40096231699114
"105.3.2",121.966455922109,370.22946,59327.0390625,55.9052738552207,2129118.19042969,350.83008,406.66197,54494.9348958333,6,0.833333333333333,0.41985466829816,1.32912412823528
"105.4.1",121.96639999522,636.83784,78104.328125,32.9932763735728,1591277.703125,620.47194,653.20422,65147.2018229167,56,0.821428571428571,0.233778802603585,1.27804550113573
"105.4.2",121.966436853933,1076.1246,143540.703125,86.1491105309958,9492689.37109375,1012.79856,1099.08534,138720.916666667,56,0.625,0.553948884498838,1.31707212443417
"105.4.3",121.966392713693,757.86888,114002.46875,76.9843115383366,5440714.39257812,719.61024,795.77526,93130.0494791667,37,0.594594594594595,0.31938084570656,1.30639521797583
"105.4.4",121.966409122637,886.37004,104939.140625,126.474226098696,9548166.3359375,822.97668,949.57332,98009.0494791667,23,0.434782608695652,0.158991161481785,1.27800050681989
"105.4.5",121.966407621296,819.2886,108238.828125,32.9932763735728,2387280.54296875,802.9872,835.73148,89289.9401041667,12,0.666666666666667,0.400849471180404,1.31995805076049
"105.4.6",121.96641873571,986.21274,110807.75,34.8262361721047,3086743.1953125,968.80032,1003.6245,102298.856770833,12,0.5,0.320079483060915,1.30349843491133
"105.4.7",121.966371306386,704.15238,114002.46875,38.4921557691683,2405536.23632812,685.02708,723.27084,75362.9010416667,8,0.625,0.114163803320938,1.266587848855
"105.4.8",121.9663789945,646.83312,78104.328125,64.1535929486139,3261255.16210938,615.0366,678.64416,71474.7942708333,6,0.666666666666667,0.217155721568557,1.27975000928187
"106.1.1",129.091210190384,88.815714,126380.25,91.6479899265913,9387025.2890625,60.322902,152.390286,120404.71875,56,0.803571428571429,0.519003305743361,1.4098980973527
"106.1.2",129.091267000191,456.785634,107460.390625,42.158075366232,3601992.9453125,435.760776,477.780744,100582.9375,56,0.589285714285714,0.229035846492408,1.39550314774447
"106.1.3",129.091203387399,278.777562,137935.109375,34.8262361721047,3811292.2265625,261.456438,296.135442,128570.348958333,43,0.744186046511628,0.348386017333981,1.42006723660128
"106.1.4",129.091215427315,357.408924,132415.765625,104.478708516314,10829633.5820312,305.193648,409.377324,124444.388020833,25,0.68,0.398737268411071,1.44069211141534
"106.1.5",129.091238338207,198.141228,130903.96875,69.6524723442093,7449759.49609375,163.379844,232.807254,123965.854166667,14,0.571428571428571,0.115807624021126,1.38050764101625
"106.1.6",129.091238120544,420.2775,115978.5625,75.1513517398048,7311234.19921875,382.995252,457.69887,113544.575520833,7,0.571428571428571,0.225099295449435,1.39834818618037
"106.1.7",129.091294567342,513.61113,84984.203125,66.9030326464116,3548734.38183594,473.202402,540.4902,82769.3463541667,7,0.857142857142857,0.159810198317449,1.27539602489758
"106.1.8",129.091237473026,243.099684,130903.96875,40.3251155677001,4417988.69140625,222.841698,263.275428,127510.380208333,3,0.666666666666667,0.342884910239968,1.41937092744872
"106.2.1",129.091292366419,604.1499,82391.75,96.2303894229208,5899321.80615234,564.73329,660.45354,81569.4375,56,0.75,0.539002853658472,1.56261404614112
"106.2.2",129.09124875634,810.2013,85494.9140625,75.1513517398048,4679643.62890625,773.36028,847.66092,77568.1276041667,56,0.553571428571429,0.359987206116019,1.52239717612133
"106.2.3",129.091332952843,1066.01784,74634.1328125,98.9798291207185,5436516.10546875,999.94488,1099.08534,69616.9557291667,56,0.732142857142857,0.485791999232102,1.50321355259778
"106.2.4",129.091289404792,708.68808,78619.6953125,42.158075366232,2750016.46679688,687.74844,729.62316,75846.6302083333,28,0.535714285714286,0.339671165396673,1.51253942931961
"106.2.5",129.091285385702,864.24876,77203.3359375,53.1558341574229,3308631.4296875,837.55098,890.92974,73571.953125,14,0.571428571428571,0.295935943621169,1.50185266721111
"106.2.6",129.091323508481,942.27612,64897.1015625,36.6591959706365,2068435.58984375,923.9634,960.55254,63180.4921875,8,0.5,0.25969944218782,1.49023819721056
"106.2.7",129.091292396486,755.14188,79010.7109375,54.9887939559547,3439522.00878906,727.80522,782.31648,77097.5260416667,5,0.6,0.357530366508482,1.518910136977
"106.2.8",129.091298714903,667.73298,86919.71875,49.4899145603593,3106200.10742188,643.2075,692.32032,77980.3307291667,4,0.75,0.220572034709415,1.4800136008804
"106.2.9",129.091327418988,987.12624,65936.8984375,60.4876733515502,3225160.6640625,956.90502,1017.36774,62984.2369791667,3,0.666666666666667,0.302912193238204,1.50453893017355
"106.2.10",129.091330091822,1033.88526,74634.1328125,49.4899145603593,2720518.9375,1009.11042,1058.66226,67615.1666666667,3,1,0.287137763943093,1.49866134621097
"106.2.11",129.091314076558,898.32066,78110.5390625,42.158075366232,2496301.48828125,877.15494,919.3752,76055.5572916667,1,1,0.388833223546568,1.52772836080603
"107.1.1",139.097734991514,145.975452,29701.53515625,38.4921557691683,729863.705566406,126.773328,165.206076,25821.916015625,56,0.0535714285714286,0.879479282149603,1.39637946559578
"107.2.1",139.097761905947,227.360664,30361.603515625,39.4086356684342,799607.830078125,205.472064,244.920798,27779.34765625,56,0.0535714285714286,0.893529661495826,1.36352213029758
"107.3.1",139.097755318559,277.866828,37534.78125,40.3251155677001,937463.446777344,261.456438,301.591914,34911.5188802083,56,0.0892857142857143,0.833018001897195,1.19257134370006
"108.1.1",120.065776859127,582.12942,137228.125,55.9052738552207,3345771.85839844,550.618764,606.86124,114918.786458333,56,0.0714285714285714,0.897162398660667,2.86087925092988
"109.1.1",127.050391343532,155.127768,47839.07421875,67.8195125456775,2032256.69726562,121.312374,188.986176,42230.7734375,56,0.392857142857143,0.656072404698943,1.48672020756303
"109.1.2",127.050387091123,261.456438,38435.0234375,59.5711934522843,1446619.7578125,220.996338,280.599936,34862.4270833333,27,0.62962962962963,0.545344540036829,1.41537292915553
