Alignment ID	Average Rt(min)	Average Mz	Metabolite name	Adduct type	Post curation result	Fill %	MS/MS assigned	Reference RT	Reference m/z	Formula	Ontology	INCHIKEY	SMILES	MSI level	Comment	Mannually modified	Isotope tracking parent ID	Isotope tracking weight number	Total score	RT similarity	Dot product	Reverse dot product	Fragment presence %	S/N average	Spectrum reference file name	MS1 isotopic spectrum	MS/MS spectrum	190715_Blk_KM1906U14-Blk_C	190715_Poo_TruePooFK180310_Full1	190715_Poo_TruePooFK180310_Full2	190715_Poo_TruePooFK180310_Full3
1019	7.479	124.11815	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	34.76	190715_Poo_TruePooFK180310_Full3	124.11815:185004 125.1215:13456 126.12486:0		15530	223939	166725	185004
1020	7.58	124.89757	Unknown	[M+H]+		0.75	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	6485.68	190715_Poo_TruePooFK180310_Full2	124.89757:830310 125.90092:0 126.90428:888684		0	51263	830310	238798
1021	13.634	125.01978	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	7.19	190715_Blk_KM1906U14-Blk_C	125.01978:141813 126.02313:0 127.02649:19646		141813	39140	46484	30048
1022	6.486	125.03797	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	1.92	190715_Blk_KM1906U14-Blk_C	125.03797:1512416 126.04132:61452 127.04468:36219		1512416	1316554	925869	1133758
1023	8.723	125.03798	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	0.93	190715_Blk_KM1906U14-Blk_C	125.03798:3836678 126.04133:203623 127.04469:38502		3836678	414490	648760	634227
1024	10.33	125.03798	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	28.01	190715_Blk_KM1906U14-Blk_C	125.03798:5576524 126.04133:319426 127.04469:38215		5576524	4082234	4566968	4134755
1025	14.847	125.03799	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	13.91	190715_Blk_KM1906U14-Blk_C	125.03799:4407423 126.04134:229613 127.0447:26927		4407423	3418508	4002005	3471512
1026	0.174	125.03802	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	3.67	190715_Blk_KM1906U14-Blk_C	125.03802:661238 126.04137:42530 127.04473:34918		661238	354595	116504	1510337
1027	19.483	125.03804	Unknown	[M+H]+		0.75	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	17.82	190715_Poo_TruePooFK180310_Full2	125.03804:3622826 126.04139:156818 127.04475:0		3227890	3080556	3622826	3376832
1028	21.469	125.03805	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	4.31	190715_Blk_KM1906U14-Blk_C	125.03805:790204 126.0414:0 127.04476:0		790204	238093	264922	210024
1029	7.736	125.03807	Unknown	[M+H]+		0.5	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	7.91	190715_Poo_TruePooFK180310_Full1	125.03807:2016141 126.04142:100688 127.04478:44205		2963899	2016141	1733429	1864587
1030	12.738	125.03808	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	2.14	190715_Poo_TruePooFK180310_Full2	125.03808:4370796 126.04143:237489 127.04479:30724		5108604	3765069	4370796	3825241
1031	20.205	125.03808	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	13.89	190715_Poo_TruePooFK180310_Full1	125.03808:2956556 126.04143:134198 127.04479:11318		375854	2956556	546789	637334
1032	9.719	125.03809	Unknown	[M+H]+		0.75	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	27.18	190715_Poo_TruePooFK180310_Full2	125.03809:4799138 126.04144:218346 127.0448:33257		927228	4695306	4799138	4377328
1033	13.956	125.03813	Unknown	[M+H]+		0.5	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	6.34	190715_Poo_TruePooFK180310_Full2	125.03813:3766425 126.04148:177540 127.04484:15699		4600918	3422825	3766425	3149518
1034	10.513	125.05972	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	1.04	190715_Blk_KM1906U14-Blk_C	125.05972:112251 126.06307:104915 127.06643:107602		112251	157392	135244	127536
1035	0.602	125.07105	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	0.73	190715_Blk_KM1906U14-Blk_C	125.07105:191678 126.0744:270134 127.07776:326187		191678	147620	141159	196006
1036	2.16	125.07106	Unknown	[M+H]+		0.75	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	3.6	190715_Blk_KM1906U14-Blk_C	125.07106:260355 126.07441:372611 127.07777:522500		260355	184948	176321	234803
1037	13.133	125.07107	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	4.88	190715_Blk_KM1906U14-Blk_C	125.07107:139452 126.07442:330409 127.07778:452540		139452	72533	72542	101733
1038	9.656	125.0712	Unknown	[M+H]+		0.25	FALSE	null	null	null	null	null	null	4		FALSE	null	null	null	null	null	null	null	4.21	190715_Poo_TruePooFK180310_Full1	125.0712:86317 126.07455:96622 127.07791:219826		66287	86317	83901	104050
