"feature","mzmed","rtmed","avgarea","C13","X2C13","S34","S33","N15","O18","Cl","Ac","H2O_H","Br","X2H"
"FT065",140.918326330833,450.971374511719,202692037.193283,0,0,0,0,0,0,0,0,0,0,0
"FT066",140.918326887373,454.766143798828,141562476.526867,0,0,0,0,0,0,0,0,0,0,0
"FT067",140.964631842583,1184.89477539062,48360098.7636203,0,0,0,0,0,0,0,0,0,0,0
"FT068",140.964608667874,1229.67395019531,38561259.2332092,0,0,0,0,0,0,0,0,0,0,0
"FT069",140.9763924518,781.592041015625,6363696.01314048,0,0,0,0,0,0,0,0,0,0,0
"FT070",142.916297716468,451.94873046875,214219822.17475,0,0,0,0,0,0,0,0,0,0,0
"FT071",142.916298748543,454.734710693359,121135181.285456,0,0,0,0,0,0,0,0,0,0,0
"FT072",143.106836660588,105.02668762207,9670646.55462938,0,0,0,0,0,0,0,0,0,0,0
"FT073",145.060946234628,596.926849365234,8127970.28765193,0,0,0,0,0,0,0,0,0,0,0
"FT074",145.060934066305,626.55810546875,5694864.23111073,0,0,0,0,0,0,0,0,0,0,0
"FT075",146.044962361333,651.076477050781,21837351.6431131,0,0,0,0,0,0,0,0,0,0,0
"FT076",150.041253820992,402.332092285156,31762606.5902596,0,0,0,0,0,0,0,0,0,0,0
"FT077",150.041269337377,421.447021484375,4650292.17334723,0,0,0,0,0,0,0,0,0,0,0
"FT078",152.946880584211,578.544738769531,3758565.9154657,0,0,0,0,0,0,0,0,0,0,0
"FT079",153.038677795654,401.407897949219,12771816.0660439,0,0,0,0,0,0,0,0,0,0,0
"FT080",155.058473865665,583.345397949219,2415904.03571168,0,0,0,0,0,0,0,0,0,0,0
"FT081",162.992440897509,822.923431396484,1081697.83583656,0,0,0,0,0,0,0,0,0,0,0
"FT082",165.01856268684,725.14111328125,4861999.61321373,0,0,0,0,0,0,0,0,0,0,0
"FT083",165.01857458801,632.820556640625,13838192.039514,0,0,0,0,0,0,0,0,0,0,0
"FT084",167.83604778911,580.301879882812,2948036.80691382,0,0,0,0,0,0,0,0,0,0,0
"FT085",167.835980929488,511.828643798828,4143952.14023259,0,0,0,0,0,0,0,0,0,0,0
"FT086",169.833239064626,512.756286621094,4847536.398217,0,0,0,0,0,0,0,0,0,0,0
"FT087",169.833301104622,579.467956542969,3634305.14976738,0,0,0,0,0,0,0,0,0,0,0
"FT088",171.015423502471,699.208251953125,2895903.09974253,0,0,0,0,0,0,0,0,0,0,0
"FT089",172.840940266311,493.928894042969,39135585.936065,0,0,0,0,0,0,0,0,0,0,0
"FT090",172.840953736925,499.475555419922,16983250.4472853,0,0,0,0,0,0,0,0,0,0,0
"FT093",174.838536443095,507.392303466797,15809378.7778374,0,0,0,0,0,0,0,0,0,0,0
"FT094",175.839400798308,493.928894042969,7376215.91234414,0,0,0,0,38525938,0,0,0,0,0,0
"FT098",178.814582812481,478.500610351562,8121531.58219753,0,0,0,0,0,0,0,0,0,0,0
"FT099",178.83322267145,493.232421875,8342142.91930862,0,0,0,0,0,0,0,0,0,0,0
"FT100",179.086793051086,246.152313232422,19604847.1559564,0,0,0,0,0,0,0,0,0,0,0
"FT101",179.08678363451,269.455322265625,9437041.12077858,0,0,0,0,0,0,0,0,0,0,0
"FT102",180.033150047115,111.512538909912,720923.729332086,0,0,0,0,0,0,0,0,0,0,0
"FT103",180.826364865208,472.103637695312,37727118.6497279,0,0,0,0,0,0,0,0,0,0,0
"FT104",180.826444086926,487.787048339844,10925711.8127972,0,0,0,0,0,0,0,0,0,0,0
"FT105",182.824337139922,473.82502746582,88673171.1654062,0,0,0,0,0,0,0,0,0,0,0
"FT106",182.824415490014,494.605346679688,13325078.7594758,0,0,0,0,0,0,0,0,0,0,0
"FT107",184.822395266893,489.831604003906,8688223.26359113,0,0,0,0,0,0,0,0,0,0,0
"FT108",186.025289994856,661.098968505859,1822390.03637643,0,0,0,0,0,0,0,0,0,0,0
"FT109",186.154208322154,84.127212524414,1102488.06801884,0,0,0,0,0,0,0,0,0,0,0
"FT110",194.926965806523,787.353271484375,6389932353.14341,0,0,572065454,96048336,0,101393698,0,0,0,0,0
"FT114",203.868560791016,182.091201782227,21542179.6847807,0,0,0,0,0,0,0,0,0,0,0
"FT115",205.86677803436,181.528198242188,24865244.6684869,0,0,0,0,0,0,0,0,0,0,0
"FT116",207.01182810272,107.246681213379,607789.837854985,0,0,0,0,0,0,0,0,0,0,0
"FT117",209.008897444998,947.832824707031,1844835.4130597,0,0,0,0,0,0,0,0,0,0,0
"FT118",212.074756973303,99.6134724423828,480283924.797873,49862513,0,0,0,0,0,0,0,0,0,0
"FT119",216.790841621619,486.785781860351,12668583.568177,0,0,0,0,0,0,0,0,0,0,0
"FT120",216.896625504153,812.865600585938,163602246.34254,0,0,0,0,0,0,0,0,0,0,0
"FT121",216.896581724557,802.702941894531,234626881.204544,0,0,0,0,0,0,0,0,0,0,0
"FT122",216.909064175543,790.751281738281,201596238.195023,0,0,0,0,0,0,0,0,0,0,0
"FT123",217.048215913974,521.770843505859,4208318.74720249,0,0,0,0,0,0,0,0,0,0,0
"FT124",217.048363880462,535.16397,692501.634296003,0,0,0,0,0,0,0,0,0,0,0
"FT125",218.788690184552,487.12336730957,31006617.9763346,0,0,0,0,0,0,0,0,0,0,0
"FT126",218.893730913098,795.708923339844,35280724.4338661,0,0,0,0,0,0,0,0,0,0,0
