"feature","peak_id","mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample","file_name","adduct_type","M_area"
"FT031",6029,114.919262514646,114.919204711914,114.919296264648,571.312561035156,557.863708496094,590.054382324219,4336927.81103218,NA,508808.65625,NA,25,"190715_Smp_FK180310S77C1-DCM_A.mzML","N15",6428386.76280451
"FT031",6122,114.919244951615,114.919204711914,114.919296264648,574.351684570312,557.863708496094,590.054382324219,6078792.5999608,NA,484519.15625,NA,26,"190715_Smp_FK180310S77C1-DCM_B.mzML","N15",6638814.82961512
"FT031",2280,114.919237940503,114.919174194336,114.919326782227,573.405578613281,557.026062011719,597.915954589844,20465385.5102326,20320559.4457991,1365013.25,42,27,"190715_Smp_FK180310S77C1-DCM_C.mzML","N15",19942341.4562435
"FT031",2363,114.919220940634,114.919174194336,114.919258117676,574.329528808594,559.733764648438,595.138305664062,21015726.7268288,20865177.4692653,1393240.25,73,28,"190715_Smp_FK180310S80C1-25m_A.mzML","N15",20361464.2631531
"FT031",2436,114.919239187513,114.919136047363,114.919296264648,569.821166992188,555.704833984375,581.977966308594,10485838.379132,10459260.796145,806752.5625,32,29,"190715_Smp_FK180310S80C1-25m_B.mzML","N15",10576859.9576592
"FT031",2508,114.919255126223,114.919143676758,114.919296264648,571.679443359375,556.2197265625,584.408264160156,16001960.7899003,15940356.8036519,1184462.75,57,30,"190715_Smp_FK180310S80C1-25m_C.mzML","N15",15542237.9540901
"FT031",6557,114.919236631688,114.919204711914,114.919296264648,575.56689453125,557.863708496094,590.054382324219,13566187.2608712,NA,1032829.8125,NA,31,"190715_Smp_FK180310S80C1-DCM_A.mzML","N15",15050479.0831776
"FT031",2646,114.919258600108,114.919219970703,114.919288635254,574.534362792969,558.22021484375,587.152954101562,15389129.3794161,14783818.7378111,1085947.375,59,32,"190715_Smp_FK180310S80C1-DCM_B.mzML","N15",14913670.326932
"FT031",6734,114.919252853942,114.919204711914,114.919296264648,568.628051757812,557.863708496094,590.054382324219,11525654.0318684,NA,1125030.875,NA,33,"190715_Smp_FK180310S80C1-DCM_C.mzML","N15",13620526.8389001
"FT031",6883,114.919249934935,114.919204711914,114.919296264648,564.397338867188,557.863708496094,590.054382324219,11106435.9017532,NA,825688.0625,NA,36,"190715_Std_4uMStdsMix1InMatrix_1.mzML","N15",13494284.6496739
"FT031",6959,114.919225866978,114.919204711914,114.919296264648,560.3740234375,557.863708496094,590.054382324219,14098867.1988121,NA,1165095.25,NA,37,"190715_Std_4uMStdsMix1InMatrix_2.mzML","N15",18277819.9479942
"FT031",7099,114.919250067329,114.919204711914,114.919296264648,559.251220703125,557.863708496094,590.054382324219,4787058.60861954,NA,771955.875,NA,40,"190715_Std_4uMStdsMix2InMatrix_1.mzML","N15",5835710.2256763
"FT031",3699,114.919181575202,114.919136047363,114.919227600098,559.021850585938,523.358154296875,579.67578125,32803375.1417184,32803321.916882,1282276,35,41,"190715_Std_4uMStdsMix2InMatrix_2.mzML","N15",34075656.5325756
"FT031",7245,114.919263141208,114.919204711914,114.919296264648,565.792724609375,557.863708496094,590.054382324219,9005825.29849569,NA,999892.9375,NA,42,"190715_Std_H2OinMatrix_1.mzML","N15",15758305.811677
"FT031",3912,114.91922037123,114.919158935547,114.91926574707,563.599548339844,528.4365234375,585.6884765625,29369022.8804261,29294795.217584,1137408.625,42,43,"190715_Std_H2OinMatrix_2.mzML","N15",31796493.0957127
"FT060",3988,134.882561807396,134.882499694824,134.882606506348,576.276794433594,525.178680419922,580.768249511719,27007158.5478615,NA,861406.625,NA,1,"170706_Blk_Blk0p2_1.mzML","N15",27341696.4146366
