"feature","peak_id","mz","mzmin","mzmax","rt","rtmin","rtmax","into","intb","maxo","sn","sample","file_name","M_area","C13_match","C13_area","X2C13_match","X2C13_area","S34_match","S34_area","S33_match","S33_area","N15_match","N15_area","O18_match","O18_area","Na_match","Na_area","NH4_match","NH4_area","H2O_H_match","H2O_H_area","K_match","K_area","X2H_match","X2H_area","BMIS","BMISed_area"
"FT107",6062,212.074738117522,212.074722290039,212.074829101562,91.1462554931641,88.3213157653809,119.762363433838,36821176.3721217,NA,8501083,NA,28,"190715_Smp_FK180310S80C1-25m_A.mzML",228069171.850382,0.711925060477447,23418064.4267576,0,0,0.60038610025893,9187283.88919783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Adenosine Monophosphate, 15N5",273211053.832957
"FT107",6135,212.07474530788,212.074722290039,212.074829101562,99.3217468261719,88.3213157653809,119.762363433838,166131389.111604,NA,12098764,NA,29,"190715_Smp_FK180310S80C1-25m_B.mzML",316731436.16785,0.703418320639732,32389420.2415059,0,0,0.42130497035463,13181655.1021342,0,0,-0.0446555757898773,2507942.88385113,0,0,0,0,0,0,0,0,0,0,0,0,"Adenosine Monophosphate, 15N5",464168912.655842
"FT107",2466,212.074769752796,212.074737548828,212.074829101562,97.2622222900391,89.8285827636719,108.41325378418,339843657.636,172476049.292218,29425712,32,30,"190715_Smp_FK180310S80C1-25m_C.mzML",323610987.756851,0.97673420080162,33160046.6683471,0.665845560229244,1287678.24347806,0.947868224974796,13280728.3200582,0,0,0,0,0.366963507692838,1356846.69258302,0,0,0,0,0,0,0,0,0,0,"Adenosine Monophosphate, 15N5",281592172.415155
"FT107",6285,212.074733958302,212.074722290039,212.074829101562,91.8557281494141,88.3213157653809,119.762363433838,81013023.2716693,NA,11962497,NA,31,"190715_Smp_FK180310S80C1-DCM_A.mzML",330293749.526253,0.462948817837204,34627956.4600668,0.362230662237364,887300.881310582,0.400695572117893,13705548.7481811,0,0,0.323942427578054,2346243.23174369,0.216505636676477,1350690.14278424,0,0,0,0,0,0,0,0,0,0,"Adenosine Monophosphate, 15N5",328263049.697351
"FT107",6365,212.074756251589,212.074722290039,212.074829101562,116.211380004883,88.3213157653809,119.762363433838,174875420.113296,NA,13394245,NA,32,"190715_Smp_FK180310S80C1-DCM_B.mzML",220742514.561228,0.868400689480101,24713368.0327852,0,0,0.869452362064485,9027511.66871583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Adenosine Monophosphate, 15N5",228601827.673183
"FT107",6437,212.07479303984,212.074722290039,212.074829101562,111.466125488281,88.3213157653809,119.762363433838,285935259.708022,NA,10599981,NA,33,"190715_Smp_FK180310S80C1-DCM_C.mzML",284002748.647505,0.67179896182885,29623453.2608037,0,0,0.38248311232732,12204348.7830352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Adenosine Monophosphate, 15N5",264143950.742027
"FT107",6484,212.074782037,212.074722290039,212.074829101562,92.5925445556641,88.3213157653809,119.762363433838,677017165.907801,NA,28422916,NA,34,"190715_Std_4uMStdsMix1InH2O_1.mzML",759800040.680687,0.668238329077368,79796225.1670923,-0.0683132651996421,2782638.97115238,0.270017214292603,32193341.8019948,0,0,0.79036157732623,3413468.54867962,0.510063060028703,2502342.86087139,0,0,0,0,0,0,0,0,0,0,"Adenosine Monophosphate, 15N5",NA
"FT107",6510,212.074737298696,212.074722290039,212.074829101562,98.4539947509766,88.3213157653809,119.762363433838,185897864.923286,NA,14466230,NA,35,"190715_Std_4uMStdsMix1InH2O_2.mzML",380052744.897301,0.756253693045184,38956973.0035195,-0.963811718959285,1867537.78326957,0.696666278693034,15511585.2347212,0,0,0.17876697202825,2269555.2677279,-0.16208742409471,1662988.64053798,0,0,0,0,0,0,0,0,0,0,"Adenosine Monophosphate, 15N5",NA
"FT107",6568,212.074743329596,212.074722290039,212.074829101562,99.2684173583984,88.3213157653809,119.762363433838,499987962.09591,NA,28919446,NA,36,"190715_Std_4uMStdsMix1InMatrix_1.mzML",816051582.522179,0.654880487268114,84601521.4786148,-0.0419844109973936,2491211.36103368,0.73695360418282,34942297.8303905,0,0,0,0,-0.197884462476659,3210246.2358529,0,0,0,0,0,0,0,0,0,0,"Adenosine Monophosphate, 15N5",803025980.470223
"FT107",6634,212.074727463451,212.074722290039,212.074829101562,100.414207458496,88.3213157653809,119.762363433838,27174490.1019538,NA,9963234,NA,37,"190715_Std_4uMStdsMix1InMatrix_2.mzML",322180059.70182,0.555517683953754,33038019.3430676,0,0,0.101276285417625,13128104.5713053,0,0,0.193975085330131,2563893.4953576,0,0,0,0,0,0,0,0,0,0,0,0,"Adenosine Monophosphate, 15N5",567051766.220203
