"chemical_ID","score","Module_RTclust","mz","time","MatchCategory","theoretical.mz","Name","Formula","MonoisotopicMass","Adduct","ISgroup","mean_int_vec","MD"
"HMDB33704",9,"7_1",181.0694,590.8,"Multiple","181.07066","L-Galactose","C6H12O6","180.063388116","M+H","ISgroup_7_12_7",1776531.9,0.069
"HMDB33704",9,"11_1",181.06943,567.3,"Multiple","181.07066","L-Galactose","C6H12O6","180.063388116","M+H","ISgroup_11_40_7",3318870,0.069
"HMDB33704",9,"10_1",181.06946,496,"Multiple","181.07066","L-Galactose","C6H12O6","180.063388116","M+H","ISgroup_10_21_7",1281629.4,0.069
"HMDB33707",0,"7_1",271.12883,495.1,"Multiple","271.13046","Heliannuol E","C15H20O3","248.141244506","M+Na","ISgroup_7_11_13",2397503.5,0.129
"HMDB33707",0,"7_1",271.12883,495.1,"Multiple","271.13046","Heliannuol E","C15H20O3","248.141244506","2M+2Na","ISgroup_7_11_13",2397503.5,0.129
"HMDB33708",0,"7_1",225.07926,455.1,"Multiple","225.08097","Furomammea D","C22H28O7","404.18350325","M+2Na","ISgroup_7_11_8",1226655.9,0.079
"HMDB33708",0,"10_1",225.07927,383.1,"Multiple","225.08097","Furomammea D","C22H28O7","404.18350325","M+2Na","ISgroup_10_15_8",2296630.4,0.079
"HMDB33712",0,"5_1",211.05646,651.4,"Multiple","211.05604","Glycyrin","C22H22O6","382.141638436","M+H+K","ISgroup_5_33_6",1798856.3,0.056
"HMDB33717",0,"7_1",138.04676,493.3,"Multiple","138.04733","(1R2R)-Isocitric acid","C6H8O7","192.02700261","M+2ACN+2H","ISgroup_7_11_5",2531802,0.047
"HMDB33717",0,"7_29",223.0051,791.8,"Multiple","223.00319","(1R2R)-Isocitric acid","C6H8O7","192.02700261","2M+Na+K","ISgroup_7_24_1",7219830.8,0.005
"HMDB33720",0,"4_1",328.0856,403.3,"Multiple","328.08563","6alpha-Hydroxymaackiain","C16H12O6","300.063388116","2M+3H2O+2H","ISgroup_4_5_9",1371236.7,0.086
"HMDB33723",0,"9_1",228.09795,290.7,"Multiple","228.0995","4-(4-Hydroxyphenyl)-2-butanone","C10H12O2","164.083729628","M+ACN+Na","ISgroup_9_1_10",2584726.7,0.098
"HMDB33723",0,"7_1",182.11772,139.2,"Multiple","182.11755","4-(4-Hydroxyphenyl)-2-butanone","C10H12O2","164.083729628","M+NH4","ISgroup_7_1_12",15461864.6,0.118
"HMDB33724",0,"7_1",226.18021,113.1,"Multiple","226.18016","Undecylenic acid","C11H20O2","184.146329884","M+ACN+H","ISgroup_7_1_19",5417430.5,0.18
"HMDB33724",0,"17_1",104.07104,615.9,"Multiple","104.07141","Undecylenic acid","C11H20O2","184.146329884","M+H+Na","ISgroup_17_24_8",31795189.2,0.071
"HMDB33724",0,"8_1",134.10618,476.9,"Multiple","134.10699","Undecylenic acid","C11H20O2","184.146329884","M+2ACN+2H","ISgroup_8_26_11",1403676.5,0.106
"HMDB33730",9,"15_1",153.07723,358.7,"Multiple","153.07575","L-2-(Hydroxymethyl)-1234-butanetetrol","C5H12O5","152.068473494","M+H","ISgroup_15_9_8",18792363.7,0.077
"HMDB33731",0,"16_1",149.04334,417.3,"Multiple","149.04307","Quinoline","C9H7N","129.057849229","2M+H+K","ISgroup_16_1_5",813364.6,0.043
"HMDB33733",0,"4_1",100.03979,500.5,"Multiple","100.0393","24-Dihydroxy-2H-14-benzoxazin-3(4H)-one","C8H7NO4","181.037507717","M+H+NH4","ISgroup_4_13_4",1163091.1,0.04
"HMDB33736",0,"15_10",160.09692,480,"Multiple","160.09682","Homofureanol","C7H10O3","142.062994186","M+NH4","ISgroup_15_17_10",17794359.5,0.097
"HMDB33736",0,"18_1",160.0969,418.6,"Multiple","160.09682","Homofureanol","C7H10O3","142.062994186","M+NH4","ISgroup_18_22_10",187138912.5,0.097
"HMDB33736",0,"15_1",160.09692,372.2,"Multiple","160.09682","Homofureanol","C7H10O3","142.062994186","M+NH4","ISgroup_15_9_10",23355147.6,0.097
"HMDB33742",0,"17_21",144.10193,516.8,"Multiple","144.10191","(S)-2-Methylbutanoic acid","C5H10O2","102.068079564","M+ACN+H","ISgroup_17_17_11",5695549,0.102
"HMDB33742",0,"7_21",144.10198,462.7,"Multiple","144.10191","(S)-2-Methylbutanoic acid","C5H10O2","102.068079564","M+ACN+H","ISgroup_7_11_11",36882478.2,0.102
"HMDB33742",0,"17_1",144.10197,300.5,"Multiple","144.10191","(S)-2-Methylbutanoic acid","C5H10O2","102.068079564","M+ACN+H","ISgroup_17_4_11",90114088.6,0.102
"HMDB33742",0,"7_1",114.06651,242.9,"Multiple","114.06633","(S)-2-Methylbutanoic acid","C5H10O2","102.068079564","2M+H+Na","ISgroup_7_6_7",5797180.3,0.067
"HMDB33742",0,"5_1",176.09182,577.8,"Multiple","176.09134","(S)-2-Methylbutanoic acid","C5H10O2","102.068079564","3M+2Na","ISgroup_5_27_10",18838257.4,0.092
