"feature","mzmed","rtmed","BMIS","BMIS_avg"
"FT414",269.105461731966,570.881225585938,"DL-Histidine, 15N",9572191.86517878
"FT416",269.125198440859,549.619384765625,"DL-Histidine, 15N",2297289.77097123
"FT417",271.128851207619,493.189056396484,"None",3167806.71273233
"FT418",272.133923571786,519.782623291016,"DL-Proline, D7",2629476.45991307
"FT419",273.089202880859,229.146392822266,"Betaine, 13C5-15N",3914108.70778927
"FT420",275.07132290358,586.777954101562,"None",3592455.11646018
"FT421",281.908679362493,448.211242675781,"Cytosine, 13C2-15N3",1770291.97589207
"FT422",282.118494031146,598.813232421875,"None",2359259.92099534
"FT423",283.175153914064,112.42407989502,"Cytosine, 13C2-15N3",2844352.48072327
"FT424",283.906586741327,448.628112792969,"Cytosine, 13C2-15N3",4000024.10598772
"FT425",284.098977152042,444.194702148438,"DL-Valine, D8",5872130.6391081
"FT426",285.144503024394,402.177276611328,"Betaine, 13C5-15N",14087101.046452
"FT427",285.144532072571,647.292266845703,"DL-Proline, D7",3391919.92620741
"FT428",286.11336118123,594.950378417969,"DL-Histidine, 15N",7574053.17010339
"FT430",287.932455810517,570.694946289062,"Arsenobetaine, 13C2",4114952.75264119
"FT431",289.139356045231,533.749633789062,"None",8555401.10305165
"FT432",289.248604558002,109.384838104249,"Betaine, 13C5-15N",797244.460505217
"FT434",294.975073134493,784.813842773438,"DL-Proline, D7",26068276.4845296
"FT435",298.096859896735,138.634475708008,"Cytosine, 13C2-15N3",89172361.168768
"FT438",302.196379707482,117.246147155762,"Betaine, 13C5-15N",1568008.08288843
"FT439",303.118701435089,587.399475097656,"DL-Proline, D7",4813455.12483399
"FT440",303.154911254224,463.225769042969,"Guanine, 13C-15N2",6130127.20089074
"FT441",307.226771251837,95.2516555786133,"DL-Histidine, 15N",1422819.61012289
"FT442",318.992194950319,784.810546875,"Adenine, 15N2",11513070.9461626
"FT443",322.847458564331,178.079605102539,"DL-Histidine, 15N",15038413.2761929
"FT444",324.845592158852,178.004829406738,"DL-Histidine, 15N",19463267.6343448
"FT445",325.088214027112,400.582244873047,"None",3648875.56353522
"FT446",326.056329063656,310.543121337891,"None",6972855.13398827
"FT447",326.843824070529,178.240026503418,"DL-Histidine, 15N",16146909.7845508
"FT448",328.085597145763,400.448532104492,"None",2046555.08809808
"FT449",333.129303978768,603.050720214844,"DL-Proline, D7",35477914.7309964
"FT450",333.1691211701,413.007690429688,"None",1853712.31139588
"FT455",347.145019536951,372.650939941406,"Adenine, 15N2",13257560.2121787
"FT458",353.055633544922,633.423889160156,"None",14110654.0327887
"FT459",360.150152535796,601.484497070312,"None",3944999.28901957
"FT460",363.015538455192,783.211059570312,"Arsenobetaine, 13C2",84945450.9709505
"FT462",366.909518483746,783.377319335938,"Betaine, 13C5-15N",27112850.8586368
"FT464",369.050615140348,771.136474609375,"DL-Histidine, 15N",1623636.92299637
"FT466",372.190437180279,654.537689208984,"DL-Proline, D7",4820021.2925004
"FT467",377.133089186502,601.260864257812,"Arsenobetaine, 13C2",1956808.33430991
"FT468",377.145867711545,600.990234375,"None",2738160.25015944
"FT469",383.153190804375,209.119032,"DL-Histidine, 15N",1190058.11282302
"FT470",385.110483323728,114.776418,"Betaine, 13C5-15N",877067.373060737
"FT471",386.042261009502,227.356468200683,"Cytosine, 13C2-15N3",3489971.80465136
"FT472",388.03644184764,229.146392822266,"Guanine, 13C-15N2",8239633.29515723
"FT473",388.254244099137,107.310539245605,"Adenine, 15N2",4878396.48305806
"FT474",391.958350297127,784.121826171875,"Adenine, 15N2",138119898.606804
"FT477",394.303797059377,98.4532012939453,"DL-Valine, D8",593046.190948169
"FT478",399.911506649309,116.389572143555,"None",2083529.92745261
"FT479",401.124805774875,310.590057373047,"Arsenobetaine, 13C2",69947284.4631789
