"feature","mzmed","rtmed","avgarea","formula"
"FT0206",115.086875287975,225.26318359375,1526158.79164284,"C5H10N2O"
"FT0207",115.086886484077,559.748016357422,3936179.98291085,"C5H10N2O"
"FT0209",115.123286927076,544.384704589844,1385547.7174758,"C6H14N2"
"FT0210",115.957746484542,571.223999023438,5064881.6029968,""
"FT0211",116.051668309406,324.357757568359,2976403.67960276,""
"FT0212",116.070895283883,448.150634765625,90692002.0214231,"C5H9NO2"
"FT0213",116.070928795527,193.009292602539,4021511.75144542,"C5H9NO2"
"FT0214",116.070944267686,864.404052734375,4880618.51802823,"C5H9NO2"
"FT0215",116.107301799209,551.223510742188,1319277.06671934,"C6H13NO"
"FT0216",116.118520727419,545.100036621094,3453891.41768351,"C5H13N3; C7H15O"
"FT0217",116.984799050872,450.315338134766,911700.706359647,"C2HN2O2P; H4O5S"
"FT0218",117.045067537007,666.638946533203,2149507.77825221,"C7H4N2"
"FT0219",117.048646940113,324.212524414062,148561581.538234,"C4H8N2S"
"FT0220",117.054920060102,565.939575195312,9483375.31106117,"C5H8O3"
"FT0222",117.102561745908,122.229820251465,834399.799607324,"C5H12N2O"
"FT0223",117.113760857707,560.435180664062,721189.98053572,"C4H12N4; C6H14NO"
"FT0224",118.032360111643,169.743286132812,22443025.9236564,"C4H7NOS"
"FT0225",118.050324007283,364.307220458984,907052.064408787,"C4H7NO3"
"FT0227",118.05818873187,566.86767578125,532390.159702724,""
"FT0228",118.061589825013,622.111602783203,1807066.80152364,"C3H7N3O2; C5H9O3"
"FT0229",118.065412135916,204.643501281738,16959552.3399528,"C8H7N"
"FT0230",118.08645156073,344.069000244141,4192333737.82467,"C5H11NO2"
"FT0231",118.086500309503,424.326446533203,89182796.7014186,"C5H11NO2"
"FT0232",118.122703976578,345.382446289062,4559533.08300322,"C6H15NO"
"FT0233",119.034113058916,567.535705566406,21901038.7178347,"C4H6O4"
"FT0234",119.035462049334,229.742144861816,1328748.83205806,"C5H2N4"
"FT0235",119.035462706094,197.605690002441,1650863.72568093,"C5H2N4"
"FT0236",119.035450030907,290.58918762207,711910.033044516,"C5H2N4"
"FT0237",119.049343289514,466.768692016601,616982.58964758,"C8H6O"
"FT0239",119.06067203846,208.095962524414,463690.504870485,"C7H6N2"
"FT0240",119.060688347898,260.183532714844,435442.055385014,"C7H6N2"
"FT0241",119.06064314835,390.590866088867,2157233.6315846,"C7H6N2"
"FT0244",119.08979662067,424.210632324219,3522313.41799819,"C6H14S"
"FT0245",120.032553253768,231.496337890625,1490401.37152525,"C6H3N2O; C2H6N3OP"
"FT0246",120.06579161387,587.076293945312,5952504.36115534,"C4H9NO3"
"FT0247",120.065756789831,570.964324951172,3571117.47204583,"C4H9NO3"
"FT0251",120.972510404919,1194.82788085938,86261113.7651982,"HN4PS"
"FT0252",120.972444427497,1224.78112792969,90221975.1706588,"HN4PS"
"FT0253",121.032016412326,414.843811035156,280962631.863278,"C4H8O2S"
"FT0255",121.064999181714,210.979080200195,22985938.6256275,"C8H8O"
"FT0256",121.068453861704,658.630004882812,1880773.0567687,"C5H12OS"
"FT0257",121.068424869358,618.064117431641,5302448.43166081,"C5H12OS"
"FT0258",121.068427466464,556.429321289062,2787209.02173674,"C5H12OS"
"FT0259",121.084368977856,263.033279418945,1422475.38413749,""
"FT0260",121.10227389425,469.06297302246,4221577.82686055,"C9H12"
"FT0261",121.966384297509,184.406433105468,1771945.13215046,""
"FT0262",121.973333101874,1195.666015625,9547339.26183924,"C2H3NOS2"
"FT0263",122.006492614746,1252.94354248047,70448938.2975767,"C6H3NS"
"FT0264",122.006539843143,1191.01000976562,92767804.9037521,"C6H3NS"
"FT0265",122.006555771372,465.971771240234,9605702.64610446,"C6H3NS"
"FT0270",122.068353030473,201.656143188477,3319370.77485409,""
"FT0271",122.071543499432,553.037475585938,1512236.47030519,"C6H7N3; C8H9O"
"FT0272",122.081448508027,424.220092773438,25235091.4503959,"C4H11NO3"
"FT0273",122.108473762438,449.80810546875,13298129.1198161,"C9H13"
"FT0274",122.970080090284,1236.82257080078,7301371.92883589,""
"FT0275",123.007383233291,1191.05126953125,9795094.77906326,"C6H2O3"
"FT0276",123.00730413709,1224.9560546875,8086609.27590724,"C6H2O3"
"FT0279",123.055491691644,155.803665161133,43423719.7791021,"C6H6N2O"
"FT0280",123.084743748449,424.113082885742,782435.695785075,"C5H14OS"
"FT0281",123.096950574851,344.005889892578,11986241.4814163,""
"FT0282",123.103132795929,344.132110595703,4126075.66558877,""
"FT0283",123.114726634931,449.838790893554,55987077.617415,""
"FT0284",124.003999564963,1225.20343017578,7887998.45678705,"C5HNO3"
"FT0286",124.006445027645,698.181610107422,808096.324445893,"C2H5NO3S; C4H2N3P"
"FT0287",124.039478334259,197.119064331055,115819484.179709,"C6H5NO2"
"FT0291",124.041340434534,137.515518188477,23054062.8398278,""
"FT0292",124.041304671748,1227.38616748047,50678144.5973717,""
"FT0293",124.058804474824,159.638656616211,3130425.44266452,""
"FT0294",124.087099524053,133.535026550293,10812632.0222291,"C6H9N3"
"FT0297",124.897530341353,447.162826538086,7603268.01540822,""
"FT0301",125.071136068508,250.974105834961,12267203.1760749,"C6H8N2O"
"FT0302",125.07919862999,193.145294189453,1183225.03196997,""
"FT0303",125.130388916178,425.106491088867,889653.469698523,""
"FT0304",126.022138637588,582.978302001953,10644831.0635726,"C2H7NO3S; C4H4N3P; C2H9NOP2"
"FT0305",126.043677048878,210.397766113281,1601538.02181727,"CH8N3O2P"
"FT0306",126.066310385199,263.693023681641,155627528.03394,"C5H7N3O"
"FT0307",126.091420080861,470.620162963867,2463240.00321156,"C7H11NO"
"FT0308",126.136669842807,425.021728515625,13129607.9319182,""
"FT0309",127.032632758903,201.79768371582,624949.286188685,"C5H6N2S"
"FT0310",127.03920218009,603.4404296875,1007213.52418407,"C6H6O3"
"FT0311",127.050342340222,172.892730712891,3702439.31046099,"C5H6N2O2"
"FT0313",127.069659549265,263.693023681641,11624404.775653,""
"FT0314",127.072864300914,322.365447998047,209920571.835934,"C3H6N6"
"FT0315",127.086787200625,557.577819824219,1845107.69814569,"C6H10N2O"
"FT0316",128.017897316836,582.670959472656,386517.034004668,"CH5NO6"
"FT0318",128.070751797792,163.6611328125,1805372.27160335,"C6H9NO2"
"FT0320",128.076152230066,321.680114746094,9564032.5523533,""
"FT0321",128.118376340192,559.419799804688,1077436.52170968,"C6H13N3"
"FT0322",128.131141840137,264.791107177734,1328219.77152491,"C7H15N2"
"FT0323",128.953679077924,462.386138916016,2165821.61362824,""
"FT0324",129.054772292776,139.71940612793,644841.844994867,"C6H8O3"
"FT0325",129.066036125532,498.930023193359,50695551.3035664,"C5H8N2O2"
"FT0326",129.066070587795,580.138793945312,903698.632424084,"C5H8N2O2"
"FT0327",130.047265663423,585.82958984375,1865546.70344485,"CH3N7O"
"FT0328",130.050016515725,596.927673339844,46123572.9954228,"C5H7NO3"
"FT0329",130.049982965081,378.399703979492,3112249.30536024,"C5H7NO3"
"FT0330",130.050019077549,649.933288574219,12605976.5145772,"C5H7NO3"
"FT0331",130.065228611818,128.987377166748,5014907.33950946,"C9H7N"
"FT0333",130.086415247394,227.049606323242,8706285.62678191,"C6H11NO2"
"FT0334",130.086400605838,426.988647460938,6624487.97966112,"C6H11NO2"
"FT0335",130.086357925887,840.999755859375,5869304.11650253,"C6H11NO2"
"FT0336",130.086395100059,577.393676757812,4912358.48955184,"C6H11NO2"
"FT0337",130.086358849504,963.652191162109,5617435.30774249,"C6H11NO2"
"FT0338",130.159199191611,315.111022949219,15816085.7865374,"C8H19N"
"FT0342",131.070378381901,495.264007568359,7529802.17471226,"C6H10O3"
"FT0343",131.070379908909,452.10595703125,10145818.7959879,"C6H10O3"
"FT0344",131.070443410593,153.674789428711,3513382.18484712,"C6H10O3"
"FT0345",131.075376032282,166.76872253418,1295521.25153988,"C6H12NS"
"FT0346",132.065751857685,579.70458984375,11672959.9684569,"C5H9NO3"
"FT0347",132.065628971257,268.128082275391,2720620.89332351,"C5H9NO3"
"FT0348",132.076889608936,573.535064697266,117552682.332221,"C4H9N3O2"
"FT0349",132.102008883356,350.087097167969,26738260.7039046,"C6H13NO2"
"FT0350",132.102039509727,130.168914794922,5001274.10901909,"C6H13NO2"
"FT0351",132.102012441115,475.354553222656,529939840.175489,"C6H13NO2"
"FT0352",132.102045320014,305.766265869141,128282256.26117,"C6H13NO2"
"FT0353",132.132185555113,134.267562866211,1725802.01019548,""
"FT0354",133.027836387536,787.534729003906,381619976.238906,"C8H4O2"
"FT0355",133.031872852009,369.042877197266,5151032.9882955,"C5H8O2S"
"FT0356",133.049652099609,147.385879516602,727271.71676987,"C5H8O4"
"FT0357",133.061016995623,604.236328125,1988046.09427161,"C4H8N2O3"
"FT0359",133.073920826323,570.656768798828,2007029.88258025,"C5H10NO3"
