"feature","mz","rt","into","file_name","M_area","BMIS","BMISed_area"
"FT367",218.1387,231.6965,425166.4,"190715_Smp_FK180310S77C1-25m_C.mzML",7949337,"Glycine betaine, 13C5, 15N",9408055.79345532
"FT367",218.1387,273.7518,1359546,"190715_Smp_FK180310S77C1-DCM_A.mzML",9548794,"Glycine betaine, 13C5, 15N",9721443.7399826
"FT367",218.1387,245.1898,688528.8,"190715_Smp_FK180310S77C1-DCM_B.mzML",8419006,"Glycine betaine, 13C5, 15N",8900431.19126265
"FT367",218.1387,251.0102,5984741,"190715_Smp_FK180310S77C1-DCM_C.mzML",10043964,"Glycine betaine, 13C5, 15N",6814358.19168264
"FT367",218.1387,256.1994,3340247,"190715_Smp_FK180310S80C1-25m_A.mzML",7626645,"Glycine betaine, 13C5, 15N",5554203.22040386
"FT367",218.1387,295.0551,84723.32,"190715_Smp_FK180310S80C1-25m_B.mzML",9752639,"Glycine betaine, 13C5, 15N",9478461.53901606
"FT367",218.1388,252.8923,11851239,"190715_Smp_FK180310S80C1-25m_C.mzML",11442054,"Glycine betaine, 13C5, 15N",11784206.7666147
"FT367",218.1387,239.8772,820690.7,"190715_Smp_FK180310S80C1-DCM_A.mzML",7880916,"Glycine betaine, 13C5, 15N",8556550.79190526
"FT367",218.1387,245.8691,2917845,"190715_Smp_FK180310S80C1-DCM_B.mzML",9070279,"Glycine betaine, 13C5, 15N",6401021.034742
"FT367",218.1387,272.6081,451371.1,"190715_Smp_FK180310S80C1-DCM_C.mzML",8234455,"Glycine betaine, 13C5, 15N",8637059.35028423
"FT367",218.1386,262.867,1164050421,"190715_Std_4uMStdsMix1InH2O_1.mzML",699433063,"Glycine betaine, 13C5, 15N",NA
"FT367",218.1385,267.7499,1194037284,"190715_Std_4uMStdsMix1InH2O_2.mzML",710392608,"Glycine betaine, 13C5, 15N",NA
"FT367",218.1385,259.4474,1091129870,"190715_Std_4uMStdsMix1InMatrix_1.mzML",888848931,"Glycine betaine, 13C5, 15N",1590152768.65628
"FT367",218.1386,262.0472,1177229167,"190715_Std_4uMStdsMix1InMatrix_2.mzML",872140620,"Glycine betaine, 13C5, 15N",1692832068.14756
"FT367",218.1387,270.1777,12904596,"190715_Std_4uMStdsMix2InH2O_1.mzML",34773206,"Glycine betaine, 13C5, 15N",NA
"FT367",218.1387,230.2622,165676.4,"190715_Std_4uMStdsMix2InH2O_2.mzML",39566409,"Glycine betaine, 13C5, 15N",NA
"FT367",218.1388,262.4268,43724534,"190715_Std_4uMStdsMix2InMatrix_1.mzML",35144164,"Glycine betaine, 13C5, 15N",66168198.6786085
"FT367",218.1387,265.5095,44086828,"190715_Std_4uMStdsMix2InMatrix_2.mzML",33629081,"Glycine betaine, 13C5, 15N",64981183.3572581
"FT367",218.1387,270.5754,2674282,"190715_Std_H2OinMatrix_1.mzML",7146662,"Glycine betaine, 13C5, 15N",12247475.8089169
"FT367",218.1387,279.3388,707990.8,"190715_Std_H2OinMatrix_2.mzML",4987315,"Glycine betaine, 13C5, 15N",9200322.87553723
"FT368",218.9746,801.1444,3957579,"170706_Blk_Blk0p2_1.mzML",5826919,"Glycine betaine, 13C5, 15N",NA
"FT368",218.9747,781.0437,121616.9,"170706_Blk_Blk0p2_2.mzML",5931934,"Glycine betaine, 13C5, 15N",NA
"FT368",218.9746,798.2675,43948269,"190715_Blk_KM1906U14-Blk_C.mzML",59119088,"Glycine betaine, 13C5, 15N",63565679.8337139
"FT368",218.9747,772.5834,1780528,"190715_Poo_TruePooFK180310_Full1.mzML",34728594,"Glycine betaine, 13C5, 15N",34885348.969637
"FT368",218.9747,785.5905,621463.4,"190715_Poo_TruePooFK180310_Half1.mzML",25747115,"Glycine betaine, 13C5, 15N",29489587.1632414
"FT368",218.9747,785.2538,10159570,"190715_Poo_TruePooFK180310_Half2.mzML",38528486,"Glycine betaine, 13C5, 15N",39756197.3385328
"FT368",218.9747,790.1921,1187030,"190715_Smp_FK180310S62C1-25m_A.mzML",55533021,"Glycine betaine, 13C5, 15N",62673249.2576611
"FT368",218.9747,788.6925,19252182,"190715_Smp_FK180310S62C1-25m_B.mzML",49218462,"Glycine betaine, 13C5, 15N",34076039.5502286
"FT368",218.9747,785.5643,4603351,"190715_Smp_FK180310S62C1-25m_C.mzML",28332913,"Glycine betaine, 13C5, 15N",31849807.5182789
"FT368",218.9747,805.4019,7031071,"190715_Smp_FK180310S62C1-DCM_B.mzML",25711294,"Glycine betaine, 13C5, 15N",19893635.1019115
"FT368",218.9747,809.5811,46019781,"190715_Smp_FK180310S62C1-DCM_C.mzML",47787106,"Glycine betaine, 13C5, 15N",32925720.3804669
"FT368",218.9746,803.7044,29755746,"190715_Smp_FK180310S64C1-25m_A.mzML",46397424,"Glycine betaine, 13C5, 15N",33246479.3134731
"FT368",218.9747,807.6292,11280406,"190715_Smp_FK180310S64C1-25m_B.mzML",23051525,"Glycine betaine, 13C5, 15N",30141892.1460802
"FT368",218.9747,806.2593,2609729,"190715_Smp_FK180310S64C1-DCM_B.mzML",53838750,"Glycine betaine, 13C5, 15N",43704500.8717909
"FT368",218.9747,806.5427,31400940,"190715_Smp_FK180310S64C1-DCM_C.mzML",37681861,"Glycine betaine, 13C5, 15N",26365799.5798972
"FT368",218.9746,794.6438,50111040,"190715_Smp_FK180310S77C1-25m_A.mzML",56599610,"Glycine betaine, 13C5, 15N",42000705.8180346
"FT368",218.9747,789.4272,16987855,"190715_Smp_FK180310S77C1-25m_B.mzML",43146559,"Glycine betaine, 13C5, 15N",48469042.0955241
"FT368",218.9747,795.9271,3967572,"190715_Smp_FK180310S77C1-25m_C.mzML",55584751,"Glycine betaine, 13C5, 15N",65683634.919494
"FT368",218.9747,795.5158,827041.3,"190715_Smp_FK180310S77C1-DCM_A.mzML",22488588,"Glycine betaine, 13C5, 15N",22860039.1264671
