"feature","mzmed","rtmed","avgarea","C13","X2C13","S34","S33","N15","O18","Na","NH4","H2O_H","K","X2H"
"FT105",132.102012441115,475.354553222656,529929886.762435,33984095,0,0,0,1899208,1870542,0,0,0,0,0
"FT106",132.102045320014,305.650970458984,133023500.759905,8467084,0,0,0,0,0,0,0,0,0,0
"FT107",133.027836387536,787.534729003906,381619472.714418,0,0,17640047,2654883,2507352,3126739,0,0,0,0,0
"FT108",133.031872852009,369.042877197266,5151032.9882955,0,0,0,0,0,0,0,21177066,0,0,0
"FT109",133.061016995623,604.236328125,1988046.09427161,0,0,0,0,0,0,0,0,0,0,0
"FT110",133.09898607464,342.175873072266,7037371.29203483,0,0,0,0,0,0,0,0,0,0,0
"FT111",133.098962404122,342.225555419922,5413247.58143579,0,0,0,0,0,0,0,0,0,0,0
"FT115",134.044941694208,665.502838134766,4089662.31726719,0,0,0,0,0,0,0,0,0,0,0
"FT116",134.081256450818,526.468322753906,3623599.77045975,0,0,0,0,0,0,0,0,0,0,0
"FT117",134.090349978778,247.725280761719,1876475.61354857,0,0,0,0,0,0,0,0,0,0,0
"FT120",135.030270720748,401.909729003906,2869681.48275286,0,0,0,0,0,0,0,269234158,0,0,0
"FT121",135.047465931711,492.605987548828,1132401135.35133,63066919,1062077,53541928,8160084,0,4396902,0,0,0,0,0
"FT124",136.050689958931,357.676437377929,4227945.02466678,0,0,0,0,0,0,0,18660462,0,0,0
"FT125",136.050678696951,362.854751586914,2875983.49674793,0,0,0,0,0,0,0,12064190,0,0,0
"FT126",136.061873030384,231.491088867188,219746571.843245,12085608,0,0,0,0,0,0,0,0,0,0
"FT127",136.061824816211,180.358215332031,38863531.7690286,0,0,0,0,0,0,0,0,0,0,0
"FT128",136.061811971073,170.586250305176,7155686.74947549,0,0,0,0,0,0,0,0,0,0,0
"FT130",137.045881749343,288.811752319336,116771885.481468,6389019,0,0,0,0,0,0,0,0,0,0
"FT131",137.045852419685,354.953094482422,33747717.5201912,0,0,0,0,0,0,0,0,0,0,0
"FT132",137.045903354492,252.232833862305,3539516.32578364,0,0,0,0,0,0,0,0,0,0,0
"FT133",137.058950453341,231.506042480469,9813762.19659737,0,0,0,0,0,0,0,0,0,0,0
"FT134",137.063162040546,558.548706054688,1877757.15520836,0,0,0,0,0,0,0,0,0,0,0
"FT137",138.055027125108,378.888580322266,229242777.619647,17347818,0,0,0,0,760897,0,0,0,0,0
"FT139",138.13655090332,389.611633300781,326764.813173363,0,0,0,0,0,0,0,0,0,0,0
"FT140",139.030372796242,324.062896728516,4700218.47807394,0,0,0,0,0,0,0,0,0,0,0
"FT141",139.050278247372,190.335815429688,9176563.53865246,0,0,0,0,0,0,0,0,14294171,0,0
"FT142",139.050214006613,411.461212158203,133327630.148339,0,0,0,0,0,0,0,0,6176750,0,0
"FT143",139.050301847259,469.859710693359,2981348.38301047,0,0,0,0,0,0,0,0,0,0,0
"FT148",139.142829051545,364.199279785156,4465239.57943467,0,0,0,0,0,0,0,0,0,0,0
"FT149",139.14283551994,391.663070678711,420247.904171661,0,0,0,0,0,0,0,0,0,0,0
"FT150",140.068161010742,343.96240234375,3940872.86782472,0,0,0,0,0,0,0,0,0,0,0
"FT152",141.06592018411,342.204376220703,14909028.1135469,987523,0,0,0,0,0,0,0,0,0,0
"FT153",141.113516608902,228.84521484375,1342372.93760103,0,0,0,0,0,0,0,0,0,0,0
"FT155",143.081598486498,419.48567199707,18011243.817687,1163953,0,0,0,0,0,0,0,0,0,0
"FT156",143.081545617144,472.470642089844,536659270.705012,35132166,0,0,0,0,0,0,0,0,0,0
"FT157",143.081604003906,452.468322753906,43160999.0811011,2778893,0,0,0,0,0,0,0,0,0,0
"FT159",144.101971792564,300.064331054688,80690900.2816405,5992276,0,0,0,0,0,0,0,0,0,0
"FT160",144.10197586433,461.677001953125,37678616.0570306,2852302,0,0,0,0,0,0,0,0,0,0
"FT161",144.101942780265,483.528747558594,8976103.37092482,0,0,0,0,0,0,0,0,0,0,0
"FT162",144.982189220641,184.001953125,160822309.152773,6826053,0,0,0,0,0,0,0,0,0,0
"FT166",146.092457072343,590.139953613281,2891191.76971385,0,0,0,0,0,0,0,0,0,0,0
"FT167",146.117593851504,497.132238,155657837.091438,11671037,0,0,0,0,0,0,0,0,0,0
"FT168",146.117635638422,407.100769042969,74893720.1069923,0,0,0,0,0,0,0,0,0,0,0
"FT169",146.11761279326,256.500213623047,1605429.21572091,0,0,0,0,0,0,0,0,0,0,0
"FT170",146.980368473197,183.6240234375,72725828.5919741,3080147,0,0,0,0,0,0,0,0,0,0
