"feature","mzmed","rtmed","BMIS","BMIS_avg"
"FT259",177.036152422035,402.913024902344,"None",15675988.1629906
"FT260",177.058218909815,465.111633300781,"Arsenobetaine, 13C2",1926081.78926993
"FT261",178.107465331645,438.836990356446,"Glycine betaine, 13C5, 15N",4896775.23186719
"FT262",179.00484462946,332.984893798828,"Arsenobetaine, 13C2",35314107.4120628
"FT263",179.073718195047,495.961944580078,"DL-Proline, 2H7",43497579.4678069
"FT264",179.073650148743,569.551086425781,"DL-Histidine, 15N",106428744.911581
"FT266",180.061813393547,627.554321289062,"DL-Valine, 2H8",3388293.44045651
"FT270",180.101974470094,414.078521728516,"Glycine betaine, 13C5, 15N",28974373.8029807
"FT272",181.030929393142,466.835861206055,"DL-Histidine, 15N",350096502.875401
"FT276",181.101972826344,249.031982421875,"L-Methionine, 2H3",6999109.08767981
"FT277",181.102002993691,247.215667724609,"L-Methionine, 2H3",8464536.67078902
"FT280",181.127414069803,449.191925048828,"Glycine betaine, 13C5, 15N",5194816.0069723
"FT282",182.032950548848,577.707061767578,"Glycine betaine, 13C5, 15N",145651668.214229
"FT283",182.067310825353,330.440307617188,"Glycine betaine, 13C5, 15N",7872337.29942148
"FT284",182.081285603771,492.419876098633,"Adenine, 15N2",10525197.9503849
"FT285",182.117712484585,139.224502563477,"Adenine, 15N2",17142870.5980083
"FT287",184.063984530935,325.504821777344,"L-Methionine, 2H3",7069739.88466445
"FT288",184.073407295872,671.877685546875,"DL-Proline, 2H7",4641194.44955296
"FT289",184.169753521192,112.511566162109,"Glycine betaine, 13C5, 15N",8126306.76396815
"FT291",185.092204107404,394.946533203125,"Glycine betaine, 13C5, 15N",11514856.7367671
"FT293",189.098327941979,441.140502929688,"DL-Proline, 2H7",988160.013726852
"FT294",189.123439939786,418.084075927734,"Adenine, 15N2",4478270.55305503
"FT295",189.159817165736,849.915893554688,"None",23270478.181578
"FT296",190.01268319765,402.902374267578,"None",3230497.51866006
"FT297",191.073831452306,426.278198242188,"Arsenobetaine, 13C2",2653507.64759827
"FT298",191.073825334788,497.949066162109,"Glycine betaine, 13C5, 15N",2282423.45572935
"FT299",191.07373190494,549.4453125,"None",1436348.48186216
"FT300",192.123134705061,273.619567871094,"Glycine betaine, 13C5, 15N",3491270.99437913
"FT301",192.123065465863,548.267761230469,"DL-Histidine, 15N",4116444.07114568
"FT302",192.88821948174,183.488616943359,"None",2455226.10395318
"FT303",193.053070242962,583.304382324219,"DL-Histidine, 15N",48117689.3529924
"FT304",193.089550201605,495.973968505859,"Arsenobetaine, 13C2",9614109.49944985
"FT305",193.089392461931,460.541931152344,"None",102672109.112949
"FT307",194.067399685653,202.706153869629,"Cytosine, 13C2, 15N3",1243040.49136823
"FT309",194.092736684814,460.496185302734,"DL-Histidine, 15N",2659822.68571323
"FT310",194.88638301408,183.169754028321,"Adenine, 15N2",6494332.74082077
"FT311",195.068701334246,550.435155705078,"DL-Histidine, 15N",2860702.49517887
"FT312",195.068744856082,581.895446777344,"Adenine, 15N2",2692914.73792165
